Symbol,CIK
AACB,0002034334
AACG,0001420529
AACI,0002044009
AAL,0000006201
AALG,None
AAME,0000008177
AAOI,0001158114
AAON,0000824142
AAPB,None
AAPD,None
AAPG,0002023311
AAPL,0000320193
AARD,0001774857
AAUS,None
AAVM,None
AAXJ,None
ABAT,0001576873
ABCL,0001703057
ABCS,None
ABEO,0000318306
ABI,None
ABIG,None
ABL,0001814287
ABLLL,0001814287
ABLV,0001957489
ABNB,0001559720
ABOS,0001576885
ABSI,0001672688
ABTS,0001864055
ABUS,0001447028
ABVC,0001173313
ABVE,0001979484
ABVX,0001956827
ACAD,0001070494
ACB,0001683541
ACDC,0001881487
ACET,0001720580
ACFN,0000880984
ACGL,0000947484
ACGLN,0000947484
ACGLO,0000947484
ACHC,0001520697
ACHV,0000949858
ACIC,0001401521
ACLS,0001113232
ACLX,0001786205
ACNB,0000715579
ACNT,0000095953
ACOG,0001655923
ACON,0001635077
ACRS,0001557746
ACRV,0001781174
ACT,0001823529
ACTG,0000934549
ACWI,None
ACWX,None
ADAG,0001818838
ADBE,0000796343
ADBG,None
ADD,0001747661
ADEA,0001803696
ADGM,0002006986
ADI,0000006281
ADIL,0001513525
ADMA,0001368514
ADN,0001744494
ADPT,0001478320
ADSE,0001879248
ADSK,0000769397
ADTN,0000926282
ADTX,0001726711
ADUS,0001468328
ADV,0001776661
ADVB,0001941029
ADVM,0001501756
ADXN,0001574232
AEBI,0002048519
AEHL,0001470683
AEI,0001750106
AEIS,0000927003
AEMD,0000882291
AENT,0001823584
AERT,0001853044
AEVA,0001789029
AEYE,0001362190
AFBI,0001823406
AFCG,0001822523
AFJK,0001979005
AFOS,None
AFRI,0001903870
AFRM,0001820953
AFSC,None
AFYA,0001771007
AGAE,0001708341
AGEM,None
AGEN,0001098972
AGFY,0001800637
AGGA,None
AGH,0002009312
AGIO,0001439222
AGIX,None
AGMH,0001705402
AGMI,None
AGNC,0001423689
AGNCL,0001423689
AGNCM,0001423689
AGNCN,0001423689
AGNCO,0001423689
AGNG,None
AGRI,0001826397
AGYS,0000078749
AGZD,None
AHCO,0001725255
AHG,0001702318
AIA,None
AIFD,None
AIFE,0002030829
AIFF,0000803578
AIHS,0001711012
AIMD,0001014763
AIOT,0001774170
AIPI,None
AIRE,0001859199
AIRG,0001272842
AIRJ,0001855474
AIRL,None
AIRO,0001927958
AIRS,0001870940
AIRT,0000353184
AIXI,0001935172
AKAM,0001086222
AKAN,0001888014
AKBA,0001517022
AKRO,0001744659
AKTX,0001541157
ALAB,0001736297
ALBT,0001630212
ALCO,0000003545
ALCY,0001901336
ALDF,0002031561
ALDX,0001341235
ALEC,0001653087
ALF,0002010930
ALGM,0000866291
ALGN,0001097149
ALGS,0001799448
ALGT,0001362468
ALHC,0001832466
ALIL,None
ALKS,0001520262
ALKT,0001529274
ALLO,0001737287
ALLT,0001365767
ALM,0001670061
ALMS,0001847367
ALNT,0000046129
ALNY,0001178670
ALOT,0000008146
ALRM,0001459200
ALRS,0000903419
ALT,0001326190
ALTI,0001838615
ALTO,0000778164
ALTS,0000862861
ALTY,None
ALVO,0001898416
ALXO,0001810182
ALZN,0001677077
AMAL,0001823608
AMAT,0000006951
AMBA,0001280263
AMCX,0001514991
AMD,0000002488
AMDD,None
AMDG,None
AMDL,None
AMED,0000896262
AMGN,0000318154
AMID,None
AMIX,0001617867
AMLX,0001658551
AMOD,0001862463
AMPG,0001518461
AMPH,0001297184
AMPL,0001866692
AMRK,0001591588
AMRN,0000897448
AMRX,0001723128
AMSC,0000880807
AMSF,0001018979
AMST,0001807166
AMTX,0000738214
AMWD,0000794619
AMZD,None
AMZN,0001018724
AMZZ,None
ANAB,0001370053
ANDE,0000821026
ANEB,0001815974
ANGH,0001871983
ANGI,0001705110
ANGL,None
ANGO,0001275187
ANIK,0000898437
ANIX,0000715446
ANL,0001944552
ANNA,0001845123
ANNX,0001528115
ANPA,0002031688
ANSC,0001854149
ANTA,0002044255
ANTE,0001413745
ANTX,0001880438
ANY,0001591956
AOHY,None
AOSL,0001387467
AOTG,None
AOUT,0001808997
APA,0001841666
APDN,0000744452
APED,None
APEI,0001201792
APGE,0001974640
API,0001802883
APLD,0001144879
APLM,0001944885
APLS,0001492422
APLT,0001697532
APM,0001734005
APOG,0000006845
APPF,0001433195
APPN,0001441683
APPS,0000317788
APPX,None
APRE,0001781983
APVO,0001671584
APWC,0001026980
APYX,0000719135
AQB,0001603978
AQMS,0001621832
AQST,0001398733
AQWA,None
ARAI,0001818274
ARAY,0001138723
ARBB,0001930179
ARBE,0001861841
ARBK,0001841675
ARBKL,0001841675
ARCB,0000894405
ARCC,0001287750
ARCT,0001768224
ARDX,0001437402
AREB,0001648087
AREC,0001590715
ARGX,0001697862
ARHS,0001875444
ARKO,0001823794
ARM,0001973239
ARMG,None
ARQT,0001787306
ARRY,0001820721
ARTL,0001621221
ARTNA,0000863110
ARTV,0001817241
ARVN,0001655759
ASET,None
ASLE,0001754170
ASMB,0001426800
ASMG,None
ASML,0000937966
ASND,0001612042
ASNS,0001141284
ASO,0001817358
ASPC,0001890361
ASPI,0001921865
ASPS,0001462418
ASPSZ,0001462418
ASRT,0001808665
ASRV,0000707605
ASST,0001920406
ASTC,0001001907
ASTE,0000792987
ASTH,0001083446
ASTI,0001350102
ASTL,0001860805
ASTS,0001780312
ASYS,0000720500
ATAI,0001840904
ATAT,0001853717
ATEC,0001350653
ATEX,0001304492
ATGL,0001967621
ATHA,0001620463
ATHE,0001131343
ATII,0002028516
ATLC,0001464343
ATLCL,0001464343
ATLCZ,0001464343
ATLN,0001605888
ATLO,0001132651
ATLX,0001540684
ATMC,0001889106
ATMV,0001937891
ATNF,0001690080
ATNI,0000879585
ATOM,0001420520
ATOS,0001488039
ATPC,0001713210
ATRA,0001604464
ATRC,0001323885
ATRO,0000008063
ATXG,0001650101
ATXS,0001454789
AUBN,0000750574
AUDC,0001086434
AUGO,0001468642
AUID,0001534154
AUMI,None
AUPH,0001600620
AURA,0001501796
AUTL,0001730463
AUUD,0001554818
AVAH,0001832332
AVAV,0001368622
AVDL,0001012477
AVDX,0001858257
AVGB,None
AVGG,None
AVGO,0001730168
AVGX,None
AVL,None
AVO,0001802974
AVPT,0001777921
AVS,None
AVT,0000008858
AVTX,0001534120
AVXC,None
AVXL,0001314052
AWRE,0001015739
AXGN,0000805928
AXON,0001069183
AXSM,0001579428
AXTI,0001051627
AYRO,0001086745
AZ,0001866030
AZI,0001959726
AZN,0000901832
AZTA,0000933974
BABX,None
BAFE,None
BAFN,0001649739
BAND,0001514416
BANF,0000760498
BANL,0001914805
BANX,0001578987
BAOS,0001811216
BASE,0001845022
BASG,None
BASV,None
BATRA,0001958140
BATRK,0001958140
BAYA,0001969475
BBGI,0001099160
BBH,None
BBIO,0001743881
BBLG,0001419554
BBNX,0001674632
BBSI,0000902791
BCAB,0001826892
BCAL,0001795815
BCAX,0002023658
BCDA,0000925741
BCG,0001953984
BCLO,None
BCML,0001730984
BCPC,0000009326
BCRX,0000882796
BCTX,0001610820
BCTXZ,0001610820
BCYC,0001761612
BDGS,None
BDMD,0001982444
BDRX,0001643918
BDSX,0001439725
BDTX,0001701541
BEAG,0001852207
BEAM,0001745999
BEAT,0001779372
BEEM,0001398805
BEEX,None
BEEZ,None
BELFA,0000729580
BELFB,0000729580
BELT,None
BENF,0001775734
BFC,0001746109
BFIN,0001303942
BFRG,0001829247
BFRI,0001858685
BFST,0001624322
BGC,0001094831
BGFV,0001156388
BGL,0002019435
BGLC,0001737523
BGM,0001779578
BGRN,None
BGRO,None
BHAT,0001759136
BHF,0001685040
BHFAL,0001685040
BHFAM,0001685040
BHFAN,0001685040
BHFAO,0001685040
BHRB,0001964333
BHST,0001723464
BIAF,0001712762
BIB,None
BIGC,0001626450
BIIB,0000875045
BILI,0001723690
BIOA,0001709941
BIOX,0001769484
BIRD,0001653909
BIS,None
BITF,0001812477
BITS,None
BIVI,0001580149
BIYA,0001944712
BJDX,0001704287
BJK,None
BJRI,0001013488
BKCH,None
BKHA,0002000775
BKIV,None
BKNG,0001075531
BKWO,None
BKYI,0001019034
BL,0001666134
BLBD,0001589526
BLBX,0001567900
BLCN,None
BLDE,0001779128
BLFS,0000834365
BLFY,0001846017
BLIN,0001378590
BLIV,0001982448
BLKB,0001280058
BLMN,0001546417
BLMZ,0001984014
BLNE,0001534708
BLNK,0001429764
BLRX,0001498403
BLTE,0001889109
BLZE,0001462056
BMAX,None
BMBL,0001830043
BMDL,None
BMEA,0001840439
BMGL,0002004489
BMHL,0002027815
BMRA,0000073290
BMRC,0001403475
BMRN,0001048477
BNAI,0001838163
BND,None
BNDX,None
BNGO,0001411690
BNRG,0001901215
BNTC,0001808898
BNTX,0001776985
BNZI,0001826011
BOED,None
BOEG,None
BOF,0001962481
BOKF,0000875357
BOLD,0001782303
BOLT,0001641281
BON,0001816815
BOOM,0000034067
BOSC,0001005516
BOTJ,0001275101
BOTT,None
BOTZ,None
BOWN,0001973056
BOXL,0001624512
BPOPM,0000763901
BPRN,0001913971
BPYPM,0001545772
BPYPN,0001545772
BPYPO,0001545772
BRAG,0001867834
BREA,0001939965
BRFH,0001487197
BRHY,None
BRID,0000014177
BRKD,None
BRKL,0001049782
BRLS,0001852973
BRLT,0001866757
BRNS,0001828185
BRNY,None
BRTX,0001505497
BRY,0001705873
BRZE,0001676238
BSBK,0001787414
BSCS,None
BSCT,None
BSCV,None
BSCX,None
BSCY,None
BSCZ,None
BSET,0000010329
BSGM,0001530766
BSJS,None
BSJT,None
BSJV,None
BSJX,None
BSLK,0001841125
BSMS,None
BSMT,None
BSMV,None
BSMY,None
BSSX,None
BSVN,0001746129
BSVO,None
BSY,0001031308
BTAI,0001720893
BTBD,0001718224
BTBT,0001710350
BTCS,0001436229
BTCT,0001796514
BTF,None
BTFX,None
BTGD,None
BTM,0001901799
BTMD,0001819253
BTOC,0001972529
BTOG,0001735556
BTSG,0001865782
BUFC,None
BUFI,None
BUFM,None
BUG,None
BULD,None
BUSE,0000314489
BVFL,0001302387
BVS,0001665988
BWAY,0001505065
BWB,0001341317
BWEN,0001120370
BWFG,0001505732
BWIN,0001781755
BWMN,0001847590
BYFC,0001001171
BYND,0001655210
BYRN,0001354866
BYSI,0001677940
BZ,0001842827
BZAI,0001871638
BZFD,0001828972
BZUN,0001625414
CA,None
CAAS,0001157762
CABA,0001759138
CAC,0000750686
CACC,0000885550
CADL,0001841387
CAFG,None
CAI,0002019410
CAKE,0000887596
CALC,0001534133
CALI,None
CALM,0000016160
CAMT,0001109138
CAN,0001780652
CANC,None
CAPN,0002024203
CAPS,0000887151
CAPT,0001967478
CARE,0001829576
CARG,0001494259
CARL,0001794546
CARM,0001485003
CART,0001579091
CARV,0001016178
CARY,None
CARZ,None
CASH,0000907471
CASI,0001962738
CASK,0001788230
CASS,0000708781
CASY,0000726958
CATH,None
CATY,0000861842
CBAT,0001117171
CBFV,0001605301
CBIO,0001253689
CBLL,0001861107
CBNK,0001419536
CBRL,0001067294
CBSH,0000022356
CBUS,0001705843
CCB,0001437958
CCBG,0000726601
CCCC,0001662579
CCCM,0002056263
CCCS,0001818201
CCCX,0002007825
CCD,0001602584
CCEC,0001392326
CCFE,None
CCG,0001965473
CCIX,0002006291
CCLD,0001582982
CCLDO,0001582982
CCNE,0000736772
CCOI,0001158324
CCRN,0001141103
CCSB,None
CCSI,0001866633
CCSO,None
CCTG,0001931717
CDC,None
CDIO,0001870144
CDL,None
CDLX,0001666071
CDNA,0001217234
CDNS,0000813672
CDRO,0001866782
CDT,0001896212
CDTG,0001793895
CDTX,0001610618
CDXS,0001200375
CDZI,0000727273
CECO,0000003197
CEFA,None
CEG,0001868275
CELC,0001603454
CELH,0001341766
CELZ,0001187953
CENN,0001707919
CENT,0000887733
CENTA,0000887733
CENX,0000949157
